id,title,category,description,body
post-12,冬季の安全衛生強化月間の取り組み,お知らせ,北海道の冬季における安全衛生強化月間として12月の取り組みを実施しました。,<p>北海道の厳しい冬を安全に過ごすため、12月を「冬季安全衛生強化月間」として全社で取り組みを実施いたしました。</p><ul><li>除雪・凍結路面対策の見直し</li><li>暖房機器の安全点検</li><li>健康診断（インフルエンザ対策）の実施</li></ul><p>今後も従業員の安全と健康を最優先に取り組んでまいります。</p>
post-13,東京の精密機械加工展に出展しました,イベント,東京ビッグサイトで開催された精密機械加工展に出展し、多くのご来場ありがとうございました。,<p>2025年11月12日〜14日に東京ビッグサイトで開催された <strong>「精密機械加工展2025」</strong> に出展いたしました。</p><p>3日間で約500名のお客様にブースへお越しいただき、誠にありがとうございました。<br>頂戴したご意見・ご要望は今後の事業活動に活かしてまいります。</p>
post-14,新型測定機を導入しました,設備,品質保証強化のため、三次元測定機を新たに導入しました。,<p>品質保証体制のさらなる強化を目的に、本社工場に <strong>三次元測定機</strong> を1台導入いたしました。</p><p>これにより、より高精度な品質検査が可能となり、お客様により安心してお使いいただける製品をお届けできるようになります。</p>
post-15,秋の社員旅行を実施しました,お知らせ,社員交流の一環として、秋の社員旅行を実施いたしました。,<p>例年恒例の社員旅行を、2025年10月に道南方面で実施いたしました。</p><p>函館・湯の川温泉での1泊2日の旅程で、部署を超えた交流を深めることができました。<br>今後も働きやすい職場づくりに取り組んでまいります。</p>
post-16,IATF 16949 認証の更新審査に合格しました,認証,自動車産業向け品質マネジメントシステム IATF 16949 の更新審査に合格いたしました。,<p>自動車産業向けの品質マネジメントシステム国際規格 <strong>IATF 16949:2016</strong> の更新審査が完了し、引き続き認証を維持することができました。</p><p>自動車部品メーカー様への安定品質の供給に、今後も全力で取り組んでまいります。</p>
post-17,夏季インターンシップを開催しました,採用,工学系学生を対象とした夏季インターンシップを開催いたしました。,<p>2025年9月に、工学系の大学生・大学院生を対象とした <strong>夏季インターンシップ</strong> を開催いたしました。</p><p>計12名の学生に参加いただき、5軸加工の体験や設計部門での実務体験を通じて、製造業の魅力をお伝えできたと感じております。</p><p>2026年度の冬季インターンシップも企画中です。詳細は採用ページにて告知いたします。</p>
post-18,女性技術者向け工場見学会を実施,お知らせ,工学系の女子学生を対象とした工場見学会を実施いたしました。,<p>製造業における女性活躍推進の一環として、工学系女子学生を対象とした <strong>工場見学会</strong> を9月初旬に実施いたしました。</p><p>札幌市内の大学から計8名にご参加いただき、現場で活躍する女性技術者との座談会も開催いたしました。</p>
post-19,北海道新聞に掲載されました,メディア,弊社の若手育成プログラムが北海道新聞経済面に掲載されました。,<p>2025年8月15日付の <strong>北海道新聞 経済面</strong> にて、弊社の若手技術者育成プログラム「フジシマ・アカデミー」が紹介されました。</p><p>新卒社員を対象とした2年間の育成プログラムで、設計・加工・品質保証の各部門をローテーションする仕組みなどをご紹介いただいております。</p>
post-20,夏季休業のお知らせ,お知らせ,2025年夏季休業期間についてご案内いたします。,<p>誠に勝手ながら、下記の期間を夏季休業とさせていただきます。</p><ul><li>休業期間：2025年8月13日(水) 〜 8月17日(日)</li><li>営業再開：2025年8月18日(月)</li></ul><p>休業期間中のお問い合わせは、営業再開後に順次対応させていただきます。</p>
post-21,新規設備投資計画を発表しました,設備,2025年下期〜2026年上期にかけての設備投資計画を策定いたしました。,<p>生産能力強化および省人化推進を目的とした、新規設備投資計画を策定いたしました。</p><ul><li>5軸マシニングセンタ 追加導入</li><li>協働ロボットによる搬送自動化</li><li>三次元測定機の最新機種への更新</li></ul><p>総額約3億円規模の投資を、2025年下期から段階的に実行してまいります。</p>
post-22,猛暑対策の取り組みについて,お知らせ,工場内の猛暑対策として空調・休憩設備の見直しを実施いたしました。,<p>近年の夏季の猛暑を受け、工場内で働く従業員の安全確保のため、空調設備および休憩設備の見直しを実施いたしました。</p><ul><li>大型スポットクーラーの増設</li><li>休憩室の冷房強化</li><li>塩分補給ステーションの新設</li></ul><p>今後も従業員が安心して働ける職場環境づくりに取り組んでまいります。</p>
post-23,中途採用エントリー受付開始,採用,機械設計・生産技術・品質保証の各部門で中途採用エントリーを開始しました。,<p>事業拡大に伴い、機械設計・生産技術・品質保証の各部門で <strong>中途採用エントリー</strong> の受付を開始いたしました。</p><p>製造業での実務経験をお持ちの方を主な対象としております。詳細は採用ページをご確認のうえ、ご応募ください。</p>
post-24,健康経営優良法人2025に認定されました,認証,経済産業省主催「健康経営優良法人2025」に認定されました。,<p>このたび、経済産業省主催の <strong>「健康経営優良法人2025（中小規模法人部門）」</strong> に認定されました。</p><p>従業員の健康保持・増進に取り組む企業として今後も継続的な取り組みを実施し、より働きやすい職場環境を目指してまいります。</p>
post-25,ゴールデンウィーク休業のお知らせ,お知らせ,2025年ゴールデンウィーク期間の休業日についてご案内いたします。,<p>誠に勝手ながら、下記の期間をゴールデンウィーク休業とさせていただきます。</p><ul><li>休業期間：2025年5月3日(土) 〜 5月6日(火)</li><li>営業再開：2025年5月7日(水)</li></ul><p>休業期間中のお問い合わせは、営業再開後に順次対応させていただきます。</p>
post-26,新入社員紹介,採用,2025年度の新入社員8名を迎えました。,<p>2025年4月1日付で、新入社員8名を迎えました。</p><p>機械設計部門に4名、生産技術部門に2名、品質保証部門に2名の配属となります。<br>先輩社員と共に、藤島製作所の未来を担う人材として成長していくことを期待しております。</p>
post-27,協力企業様向け説明会を開催,イベント,4月に協力企業様向けの方針説明会を開催いたしました。,<p>2025年4月15日に、お取引先協力企業様を対象とした <strong>方針説明会</strong> を本社にて開催いたしました。</p><p>2025年度の生産計画、品質方針、安全衛生方針等についてご説明させていただき、約30社の協力企業様にご参加いただきました。</p>
post-28,2025年度経営方針を発表,お知らせ,2025年度の経営方針「技術で未来を拓く」を発表いたしました。,<p>2025年度の経営方針として <strong>「技術で未来を拓く」</strong> を発表いたしました。</p><ul><li>高付加価値加工への注力</li><li>スマートファクトリー化の加速</li><li>人材育成への重点投資</li></ul><p>変化の激しい製造業界において、技術力でお客様の課題解決に貢献する企業を目指してまいります。</p>
post-29,期末決算のご報告,お知らせ,2024年度（2025年3月期）の決算報告を行いました。,<p>2024年度（2025年3月期）の決算が確定いたしました。</p><p>売上高は前年比115%と堅調に推移し、自動車部品事業を中心に成長を継続することができました。<br>今後もお客様の信頼にお応えできるよう、品質・納期・価格の改善に努めてまいります。</p>
post-30,北海道経済新聞のインタビューに掲載されました,メディア,北海道経済新聞2025年3月号に弊社代表のインタビューが掲載されました。,<p>北海道経済新聞2025年3月号「北の経営者シリーズ」に、弊社代表取締役 藤島太郎のインタビューが掲載されました。</p><p>創業の経緯、北海道で製造業を営む意義、今後の事業展望などについて語っております。お手にとってご覧いただければ幸いです。</p>
